FPR,TPR,ΔFPR,Avg. TPR,Segment Area,Cumulative AUC
0.000,0.6380,-,-,-,0.0000
0.001,0.9918,0.001,0.8149,0.0008,0.0008
0.002,0.9935,0.001,0.9927,0.0010,0.0018
0.005,0.9944,0.003,0.9940,0.0030,0.0048
0.010,0.9949,0.005,0.9947,0.0050,0.0098
0.020,0.9956,0.010,0.9952,0.0100,0.0197
0.050,0.9960,0.030,0.9958,0.0299,0.0496
0.100,0.9965,0.050,0.9963,0.0498,0.0994
0.200,0.9972,0.100,0.9969,0.0997,0.1991
0.300,0.9978,0.100,0.9975,0.0998,0.2988
0.500,0.9985,0.200,0.9981,0.1996,0.4985
0.700,0.9991,0.200,0.9988,0.1998,0.6982
1.000,1.0000,0.300,0.9996,0.2999,0.9981
